"Notes"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	282	4849377	5.8
	"Alaska"	"02"	79	736732	10.7
	"Arizona"	"04"	616	6731484	9.2
	"Arkansas"	"05"	179	2966369	6.0
	"California"	"06"	2159	38802500	5.6
	"Colorado"	"08"	532	5355866	9.9
	"Connecticut"	"09"	531	3596677	14.8
	"Delaware"	"10"	125	935614	13.4
	"District of Columbia"	"11"	65	658893	9.9
	"Florida"	"12"	1446	19893297	7.3
	"Georgia"	"13"	724	10097343	7.2
	"Hawaii"	"15"	62	1419561	4.4
	"Idaho"	"16"	80	1634464	4.9
	"Illinois"	"17"	1263	12880580	9.8
	"Indiana"	"18"	489	6596855	7.4
	"Iowa"	"19"	170	3107126	5.5
	"Kansas"	"20"	188	2904021	6.5
	"Kentucky"	"21"	762	4413457	17.3
	"Louisiana"	"22"	266	4649676	5.7
	"Maine"	"23"	174	1330089	13.1
	"Maryland"	"24"	932	5976407	15.6
	"Massachusetts"	"25"	1161	6745408	17.2
	"Michigan"	"26"	1076	9909877	10.9
	"Minnesota"	"27"	331	5457173	6.1
	"Mississippi"	"28"	117	2994079	3.9
	"Missouri"	"29"	726	6063589	12.0
	"Montana"	"30"	54	1023579	5.3
	"Nebraska"	"31"	60	1881503	3.2
	"Nevada"	"32"	413	2839099	14.5
	"New Hampshire"	"33"	302	1326813	22.8
	"New Jersey"	"34"	757	8938175	8.5
	"New Mexico"	"35"	416	2085572	19.9
	"New York"	"36"	1787	19746227	9.0
	"North Carolina"	"37"	979	9943964	9.8
	"North Dakota"	"38"	34	739482	4.6
	"Ohio"	"39"	2175	11594163	18.8
	"Oklahoma"	"40"	504	3878051	13.0
	"Oregon"	"41"	347	3970239	8.7
	"Pennsylvania"	"42"	1110	12787209	8.7
	"Rhode Island"	"44"	211	1055173	20.0
	"South Carolina"	"45"	530	4832482	11.0
	"South Dakota"	"46"	33	853175	3.9
	"Tennessee"	"47"	892	6549352	13.6
	"Texas"	"48"	1219	26956958	4.5
	"Utah"	"49"	471	2942902	16.0
	"Vermont"	"50"	72	626562	11.5
	"Virginia"	"51"	775	8326289	9.3
	"Washington"	"53"	692	7061530	9.8
	"West Virginia"	"54"	585	1850326	31.6
	"Wisconsin"	"55"	640	5757564	11.1
	"Wyoming"	"56"	57	584153	9.8
